mapping_id,images_path,depth_est_path,depths_path,sparse_path,images_raw_path,masks_raw_path,masks_images_path,gaussian_path,images_csv_path
00254ad8-d90e-4f48-88ed-3a68866d6a9c,images/00254ad8-d90e-4f48-88ed-3a68866d6a9c,depth_est/00254ad8-d90e-4f48-88ed-3a68866d6a9c,depths/00254ad8-d90e-4f48-88ed-3a68866d6a9c,sparse/00254ad8-d90e-4f48-88ed-3a68866d6a9c,images_raw/00254ad8-d90e-4f48-88ed-3a68866d6a9c,masks_raw/00254ad8-d90e-4f48-88ed-3a68866d6a9c,masks_images/00254ad8-d90e-4f48-88ed-3a68866d6a9c,3dgs/00254ad8-d90e-4f48-88ed-3a68866d6a9c.ply,images-csv/00254ad8-d90e-4f48-88ed-3a68866d6a9c.csv
0085d92a-2ea0-4ecc-93b2-6378d1860ebf,images/0085d92a-2ea0-4ecc-93b2-6378d1860ebf,depth_est/0085d92a-2ea0-4ecc-93b2-6378d1860ebf,depths/0085d92a-2ea0-4ecc-93b2-6378d1860ebf,sparse/0085d92a-2ea0-4ecc-93b2-6378d1860ebf,images_raw/0085d92a-2ea0-4ecc-93b2-6378d1860ebf,masks_raw/0085d92a-2ea0-4ecc-93b2-6378d1860ebf,masks_images/0085d92a-2ea0-4ecc-93b2-6378d1860ebf,3dgs/0085d92a-2ea0-4ecc-93b2-6378d1860ebf.ply,images-csv/0085d92a-2ea0-4ecc-93b2-6378d1860ebf.csv
009700b2-2819-4ba7-96cb-f06d84c0dc57,images/009700b2-2819-4ba7-96cb-f06d84c0dc57,depth_est/009700b2-2819-4ba7-96cb-f06d84c0dc57,,sparse/009700b2-2819-4ba7-96cb-f06d84c0dc57,images_raw/009700b2-2819-4ba7-96cb-f06d84c0dc57,masks_raw/009700b2-2819-4ba7-96cb-f06d84c0dc57,masks_images/009700b2-2819-4ba7-96cb-f06d84c0dc57,3dgs/009700b2-2819-4ba7-96cb-f06d84c0dc57.ply,images-csv/009700b2-2819-4ba7-96cb-f06d84c0dc57.csv
0112d7ff-5d93-478a-a086-6698e62e7e0d,images/0112d7ff-5d93-478a-a086-6698e62e7e0d,depth_est/0112d7ff-5d93-478a-a086-6698e62e7e0d,depths/0112d7ff-5d93-478a-a086-6698e62e7e0d,sparse/0112d7ff-5d93-478a-a086-6698e62e7e0d,images_raw/0112d7ff-5d93-478a-a086-6698e62e7e0d,masks_raw/0112d7ff-5d93-478a-a086-6698e62e7e0d,masks_images/0112d7ff-5d93-478a-a086-6698e62e7e0d,3dgs/0112d7ff-5d93-478a-a086-6698e62e7e0d.ply,images-csv/0112d7ff-5d93-478a-a086-6698e62e7e0d.csv
013a5e42-a7a2-4dd5-89ae-0dc17eef147d,images/013a5e42-a7a2-4dd5-89ae-0dc17eef147d,depth_est/013a5e42-a7a2-4dd5-89ae-0dc17eef147d,depths/013a5e42-a7a2-4dd5-89ae-0dc17eef147d,sparse/013a5e42-a7a2-4dd5-89ae-0dc17eef147d,images_raw/013a5e42-a7a2-4dd5-89ae-0dc17eef147d,masks_raw/013a5e42-a7a2-4dd5-89ae-0dc17eef147d,masks_images/013a5e42-a7a2-4dd5-89ae-0dc17eef147d,3dgs/013a5e42-a7a2-4dd5-89ae-0dc17eef147d.ply,images-csv/013a5e42-a7a2-4dd5-89ae-0dc17eef147d.csv
017d9691-cb4a-4423-847b-db7d28b336a6,images/017d9691-cb4a-4423-847b-db7d28b336a6,depth_est/017d9691-cb4a-4423-847b-db7d28b336a6,depths/017d9691-cb4a-4423-847b-db7d28b336a6,sparse/017d9691-cb4a-4423-847b-db7d28b336a6,images_raw/017d9691-cb4a-4423-847b-db7d28b336a6,masks_raw/017d9691-cb4a-4423-847b-db7d28b336a6,masks_images/017d9691-cb4a-4423-847b-db7d28b336a6,3dgs/017d9691-cb4a-4423-847b-db7d28b336a6.ply,images-csv/017d9691-cb4a-4423-847b-db7d28b336a6.csv
01cc10b5-fca6-4d36-a7ba-d1be42bf9400,images/01cc10b5-fca6-4d36-a7ba-d1be42bf9400,depth_est/01cc10b5-fca6-4d36-a7ba-d1be42bf9400,,sparse/01cc10b5-fca6-4d36-a7ba-d1be42bf9400,images_raw/01cc10b5-fca6-4d36-a7ba-d1be42bf9400,masks_raw/01cc10b5-fca6-4d36-a7ba-d1be42bf9400,masks_images/01cc10b5-fca6-4d36-a7ba-d1be42bf9400,3dgs/01cc10b5-fca6-4d36-a7ba-d1be42bf9400.ply,images-csv/01cc10b5-fca6-4d36-a7ba-d1be42bf9400.csv
01e43286-ba09-49c5-9bac-e4a6a5c9b9fb,images/01e43286-ba09-49c5-9bac-e4a6a5c9b9fb,depth_est/01e43286-ba09-49c5-9bac-e4a6a5c9b9fb,,sparse/01e43286-ba09-49c5-9bac-e4a6a5c9b9fb,images_raw/01e43286-ba09-49c5-9bac-e4a6a5c9b9fb,masks_raw/01e43286-ba09-49c5-9bac-e4a6a5c9b9fb,masks_images/01e43286-ba09-49c5-9bac-e4a6a5c9b9fb,3dgs/01e43286-ba09-49c5-9bac-e4a6a5c9b9fb.ply,images-csv/01e43286-ba09-49c5-9bac-e4a6a5c9b9fb.csv
01e94fef-06fc-4347-b4cb-669b1b4de248,images/01e94fef-06fc-4347-b4cb-669b1b4de248,depth_est/01e94fef-06fc-4347-b4cb-669b1b4de248,depths/01e94fef-06fc-4347-b4cb-669b1b4de248,sparse/01e94fef-06fc-4347-b4cb-669b1b4de248,images_raw/01e94fef-06fc-4347-b4cb-669b1b4de248,masks_raw/01e94fef-06fc-4347-b4cb-669b1b4de248,masks_images/01e94fef-06fc-4347-b4cb-669b1b4de248,3dgs/01e94fef-06fc-4347-b4cb-669b1b4de248.ply,images-csv/01e94fef-06fc-4347-b4cb-669b1b4de248.csv
01f93d8d-a97f-406a-822b-f9cacea77215,images/01f93d8d-a97f-406a-822b-f9cacea77215,depth_est/01f93d8d-a97f-406a-822b-f9cacea77215,,sparse/01f93d8d-a97f-406a-822b-f9cacea77215,images_raw/01f93d8d-a97f-406a-822b-f9cacea77215,masks_raw/01f93d8d-a97f-406a-822b-f9cacea77215,masks_images/01f93d8d-a97f-406a-822b-f9cacea77215,3dgs/01f93d8d-a97f-406a-822b-f9cacea77215.ply,images-csv/01f93d8d-a97f-406a-822b-f9cacea77215.csv
