sequenceID,MappingManager_main_FrameID,rot_w,rot_x,rot_y,rot_z,pos_x,pos_y,pos_z,cur_time,currentLocation_Timestamp,latLon_x,latLon_y,accuracy,0,accuracy,XRCameraIntrinsics_focalLength_x,XRCameraIntrinsics_focalLength_y,XRCameraIntrinsics_resolution_x,XRCameraIntrinsics_resolution_y,XRCameraIntrinsics_principalPoint_x,XRCameraIntrinsics_principalPoint_y,compass,compassAccuracy,compassMagnetic,satelliteView,satelliteUsed,speedMetersPerSecond,Input_acceleration_x,Input_acceleration_y,Input_acceleration_z,gyro_userAcceleration_x,gyro_userAcceleration_y,gyro_userAcceleration_z,ArFoundationCameraStats_mainArFoundation_CurrentSpeed,ArFoundationCameraStats_mainArFoundation_CurrentAngleSpeed,ArFoundationCameraStats_mainArFoundation_TimeRangeAverage,ArFoundationCameraStats_mainArFoundation_InTimeRangeAverageSpeed,ArFoundationCameraStats_mainArFoundation_InTimeRangeAverageAngleSpeed,ArFoundationLightManager_main_LastIntensity,lightEstimationData_averageBrightness,lightEstimationData_averageColorTemperature,lightEstimationData_colorCorrection_Value_r,lightEstimationData_colorCorrection_Value_g,lightEstimationData_colorCorrection_Value_b,lightEstimationData_averageIntensityInLumens,lightEstimationData_mainLightIntensityLumens,lightEstimationData_averageMainLightBrightness,lastFrameEventArgs_exposureDuration,lastFrameEventArgs_exposureOffset,vApplication_version,bApplication_buildGUID,Exif_ApertureValue,Exif_Brightness,Exif_ExposureTime,Exif_ShutterSpeed,Exif_ExposureBias,Exif_FNumber,Exif_FocalLength,Exif_Flash,Exif_ColorSpace,Exif_PhotographicSensitivity,Exif_MeteringMode,depth_CameraConfiguredDepthSensorSupport,depth_LastRGBWidth,depth_LastRGBHeight,depth_LastDepthWidth,depth_LastDepthHeight,depth_LastDepthConfidenceWidth,depth_LastDepthConfidenceHeight,depth_LastDepthRawWidth,depth_LastDepthRawHeight,depth_LastDepthSmoothedWidth,depth_LastDepthSmoothedHeight,depth_LastHumanDepthWidth,depth_LastHumanDepthHeight,depth_LastHumanStencilWidth,depth_LastHumanStencilHeight

39,0000,0.7735693,0.100117,-0.6232373,0.0560583,3.344681,1.247523,-0.9331741,1776164337,1776164331.84116,49.081337,1.6287657,112,0,112,2539.594,2539.594,3840,2160,1934.017,1077.711,311.5582,15.16925,307.5914,-1,-1,-1,-0.01493835,-0.9624939,-0.1900635,-0.06097499,0.01348156,0.02985913,0.1728562,12.12788,1,0.2604252,11.3709,1.011284,0.4712583,5925.648,0,0,0,942.5165,0,0,0.00606060606060606,-0.07117517,v1.7.6,b16ec9c5d6ab84add850387b9fda50061,1.663754436006,5.28301864526493,0.00606060606060606,7.36575246222328,0,1.78,6.765,0,sRGB,64,Pattern,2,3840,2160,0,0,256,144,0,0,256,144,256,144,256,144
39,0001,0.770874,0.06696857,-0.6327158,0.03064764,3.400093,1.263175,-0.8170094,1776164337,1776164331.84116,49.081337,1.6287657,112,0,112,2539.605,2539.605,3840,2160,1934.216,1077.977,311.5582,15.14252,306.5834,-1,-1,-1,0.01794434,-0.9290619,-0.1508789,-0.02457596,0.06224263,-0.02438013,0.3324722,11.91536,1,0.2725461,12.19351,1.016864,0.4738588,5925.648,0,0,0,947.7177,0,0,0.00617283950617284,-0.06455897,v1.7.6,b16ec9c5d6ab84add850387b9fda50061,1.663754436006,5.25851108628978,0.00617283950617284,7.34425984099063,0,1.78,6.765,0,sRGB,64,Pattern,2,3840,2160,0,0,256,144,0,0,256,144,256,144,256,144
39,0002,0.7530304,0.08427583,-0.6520427,0.02613982,3.41507,1.246354,-0.684691,1776164338,1776164331.84116,49.081337,1.6287657,112,0,112,2539.656,2539.656,3840,2160,1934.124,1077.88,308.3799,18.47224,302.3892,-1,-1,-1,0.01792908,-0.9991913,0.01853943,-0.0684961,-0.01285017,0.16123,0.4256349,36.53367,1,0.3013481,12.82438,1.023577,0.4769868,5925.648,0,0,0,953.9736,0,0,0.00617283950617284,-0.0566489,v1.7.6,b16ec9c5d6ab84add850387b9fda50061,1.663754436006,5.25851108628978,0.00617283950617284,7.34425984099063,0,1.78,6.765,0,sRGB,64,Pattern,2,3840,2160,0,0,256,144,0,0,256,144,256,144,256,144
39,0003,0.7000989,0.07692951,-0.7096573,0.01816397,3.352135,1.229794,-0.5221381,1776164338,1776164331.84116,49.081337,1.6287657,112,0,112,2539.463,2539.463,3840,2160,1934.398,1077.771,308.3799,18.12864,295.2574,-1,-1,-1,-0.01118469,-1.080231,-0.06767273,-0.08234759,-0.08681279,0.04077066,0.6912625,18.29427,1,0.4125425,20.4121,1.012183,0.4716775,5925.648,0,0,0,943.3549,0,0,0.00617283950617284,-0.07010621,v1.7.6,b16ec9c5d6ab84add850387b9fda50061,1.663754436006,5.22781428906686,0.00617283950617284,7.34425984099063,0,1.78,6.765,0,sRGB,64,Pattern,2,3840,2160,0,0,256,144,0,0,256,144,256,144,256,144
39,0004,0.7207631,0.07645608,-0.6885427,0.02375078,3.246819,1.24739,-0.2656531,1776164338,1776164331.84116,49.081337,1.6287657,112,0,112,2540.1,2540.1,3840,2160,1934.825,1077.894,308.3799,17.91106,299.7028,-1,-1,-1,0.08796692,-0.8961487,-0.1309509,0.004273944,0.07841992,0.04421033,0.8684886,35.83277,1,0.6006341,24.58157,0.9841217,0.4586007,5925.648,0,0,0,917.2015,0,0,0.00617283950617284,-0.1039079,v1.7.6,b16ec9c5d6ab84add850387b9fda50061,1.663754436006,5.20435531624287,0.00617283950617284,7.34425984099063,0,1.78,6.765,0,sRGB,64,Pattern,2,3840,2160,0,0,256,144,0,0,256,144,256,144,256,144
39,0005,0.7236949,0.08495536,-0.6847745,0.01149747,3.199875,1.237183,-0.03127098,1776164339,1776164338.12997,49.0815964,1.63037753,137,0,137,2539.531,2539.531,3840,2160,1934.088,1077.5,302.8054,17.78745,298.3749,-1,-1,-1,0.02532959,-1.102539,-0.1685638,-0.0580029,-0.1237781,-0.05210406,0.8447699,14.91299,1,0.7330636,25.81169,0.9747089,0.4542143,5925.648,0,0,0,908.4286,0,0,0.00636942675159236,-0.1154624,v1.7.6,b16ec9c5d6ab84add850387b9fda50061,1.663754436006,5.17342150509535,0.00636942675159236,7.29630391278466,0,1.78,6.765,0,sRGB,64,Pattern,2,3840,2160,0,0,256,144,0,0,256,144,256,144,256,144
39,0006,0.6610291,0.07209346,-0.7461497,0.03322284,3.142082,1.241019,0.2564735,1776164339,1776164338.12997,49.0815964,1.63037753,137,0,137,2538.337,2538.337,3840,2160,1934.157,1077.215,302.8054,17.46998,286.0854,-1,-1,-1,0.1286469,-0.9349976,-0.1394043,0.02959206,0.08347899,-0.002246872,0.8634859,18.69077,1,0.8510541,27.15277,1.018781,0.474752,5925.648,0,0,0,949.5041,0,0,0.00680272108843537,-0.06229492,v1.7.6,b16ec9c5d6ab84add850387b9fda50061,1.663754436006,5.14385541397315,0.00680272108843537,7.20194782577114,0,1.78,6.765,0,sRGB,64,Pattern,2,3840,2160,0,0,256,144,0,0,256,144,256,144,256,144
39,0007,0.6162061,0.07479668,-0.7829992,0.04009822,3.038124,1.224105,0.5353088,1776164339,1776164338.12997,49.0815964,1.63037753,137,0,137,2538.553,2538.553,3840,2160,1934.245,1077.099,302.8054,17.32433,279.5267,-1,-1,-1,0.05725098,-1.160645,-0.170105,-0.005978163,-0.1742146,-0.01423751,0.9788593,17.10074,1,0.8766643,26.56566,1.02034,0.4754784,5925.648,0,0,0,950.9567,0,0,0.00684931506849315,-0.06045703,v1.7.6,b16ec9c5d6ab84add850387b9fda50061,1.663754436006,5.12990030629676,0.00684931506849315,7.19094452483476,0,1.78,6.765,0,sRGB,64,Pattern,2,3840,2160,0,0,256,144,0,0,256,144,256,144,256,144
39,0008,0.584242,0.09157763,-0.803556,0.06762142,2.88752,1.253997,0.7885952,1776164340,1776164338.12997,49.0815964,1.63037753,137,0,137,2538.655,2538.655,3840,2160,1934.789,1077.002,278.8885,17.27484,275.8885,-1,-1,-1,-0.03134155,-0.7655487,-0.1097412,-0.1406388,0.225646,0.04491939,0.7960799,13.72865,1,0.90888,28.99033,1.02851,0.4792855,5925.648,0,0,0,958.5711,0,0,0.00684931506849315,-0.0508689,v1.7.6,b16ec9c5d6ab84add850387b9fda50061,1.663754436006,5.14508671011144,0.00684931506849315,7.19094452483476,0,1.78,6.765,0,sRGB,64,Pattern,2,3840,2160,0,0,256,144,0,0,256,144,256,144,256,144
