sequenceID,MappingManager_main_FrameID,rot_w,rot_x,rot_y,rot_z,pos_x,pos_y,pos_z,cur_time,currentLocation_Timestamp,latLon_x,latLon_y,accuracy,0,accuracy,XRCameraIntrinsics_focalLength_x,XRCameraIntrinsics_focalLength_y,XRCameraIntrinsics_resolution_x,XRCameraIntrinsics_resolution_y,XRCameraIntrinsics_principalPoint_x,XRCameraIntrinsics_principalPoint_y,compass,compassAccuracy,compassMagnetic,satelliteView,satelliteUsed,speedMetersPerSecond,Input_acceleration_x,Input_acceleration_y,Input_acceleration_z,gyro_userAcceleration_x,gyro_userAcceleration_y,gyro_userAcceleration_z,ArFoundationCameraStats_mainArFoundation_CurrentSpeed,ArFoundationCameraStats_mainArFoundation_CurrentAngleSpeed,ArFoundationCameraStats_mainArFoundation_TimeRangeAverage,ArFoundationCameraStats_mainArFoundation_InTimeRangeAverageSpeed,ArFoundationCameraStats_mainArFoundation_InTimeRangeAverageAngleSpeed,ArFoundationLightManager_main_LastIntensity,lightEstimationData_averageBrightness,lightEstimationData_averageColorTemperature,lightEstimationData_colorCorrection_Value_r,lightEstimationData_colorCorrection_Value_g,lightEstimationData_colorCorrection_Value_b,lightEstimationData_averageIntensityInLumens,lightEstimationData_mainLightIntensityLumens,lightEstimationData_averageMainLightBrightness,lastFrameEventArgs_exposureDuration,lastFrameEventArgs_exposureOffset,vApplication_version,bApplication_buildGUID,Exif_ApertureValue,Exif_Brightness,Exif_ExposureTime,Exif_ShutterSpeed,Exif_ExposureBias,Exif_FNumber,Exif_FocalLength,Exif_Flash,Exif_ColorSpace,Exif_PhotographicSensitivity,Exif_MeteringMode,depth_CameraConfiguredDepthSensorSupport,depth_LastRGBWidth,depth_LastRGBHeight,depth_LastDepthWidth,depth_LastDepthHeight,depth_LastDepthConfidenceWidth,depth_LastDepthConfidenceHeight,depth_LastDepthRawWidth,depth_LastDepthRawHeight,depth_LastDepthSmoothedWidth,depth_LastDepthSmoothedHeight,depth_LastHumanDepthWidth,depth_LastHumanDepthHeight,depth_LastHumanStencilWidth,depth_LastHumanStencilHeight

77,0000,-0.9790426,-0.2028107,-0.01800059,-0.004415456,-0.08436966,1.131387,-2.362232,1773713820,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,186.3707,66,33,0.08647333,-0.006835938,-0.9094239,-0.4282227,0,0,0,0.08249834,6.847679,1,0.06099777,15.94073,1.121885,0.5227984,0,0.9814734,1,1.007047,1045.597,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0001,-0.9802656,-0.1900861,-0.05383237,0.006983565,-0.2033997,1.135849,-2.354829,1773713821,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,192.391,66,32,0.08647333,0.01416016,-0.9106445,-0.3657227,0,0,0,0.1865697,8.75067,1,0.1555374,16.08543,1.02672,0.4784516,0,0.9781568,1,1.012621,956.9032,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0002,-0.9762768,-0.1916945,-0.09414013,0.03570183,-0.3238564,1.147456,-2.339969,1773713821,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,201.5963,66,31,0.08647333,0.04980469,-0.9506837,-0.2783203,0,0,0,0.2502995,20.06157,1,0.2864624,19.19858,1.083583,0.5049496,0,0.9847365,1,1.009325,1009.899,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0003,-0.9839852,-0.1503475,-0.08770657,0.03842413,-0.4385195,1.145629,-2.267466,1773713821,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,193.9312,66,31,0.08647333,0.006591796,-0.9128418,-0.3537598,0,0,0,0.4907796,13.49566,1,0.3475188,19.50809,1.002686,0.4672518,0,0.9793221,1,1.014653,934.5035,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0004,-0.9864497,-0.1193717,-0.09134116,0.06576009,-0.5250254,1.156952,-2.172816,1773713822,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,206.5429,66,31,0.08647333,0.04589844,-0.9709473,-0.3190918,0,0,0,0.2485109,21.2538,1,0.3737618,18.71038,0.9915625,0.4620681,0,0.9801345,1,1.009,924.1362,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0005,-0.9813168,-0.1127928,-0.1370808,0.07418979,-0.6656895,1.14086,-2.123153,1773713822,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,228.4958,66,31,0.08647333,0.1103516,-1.005127,-0.2451172,0,0,0,0.4778975,33.24474,1,0.4662434,23.78585,0.983531,0.4583254,0,0.9871278,1,0.9950169,916.6509,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0006,-0.967842,-0.1205883,-0.2002166,0.09302615,-0.7634344,1.144469,-2.103116,1773713822,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,222.0453,66,31,0.08647333,0.09667969,-1.010742,-0.3447266,0,0,0,0.5872265,36.05501,1,0.4885097,27.65307,1.016086,0.4734961,0,0.9926479,1,0.9972566,946.9922,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0007,-0.9603555,-0.1363721,-0.2204853,0.1025,-0.8888445,1.152434,-2.061043,1773713823,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,237.7238,66,31,0.08647333,0.1052246,-1.001221,-0.1931152,0,0,0,0.5088032,20.17722,1,0.517487,30.96631,1.05918,0.4935777,0,0.9901742,1,0.9990969,987.1553,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
77,0008,-0.9647331,-0.1434419,-0.2014341,0.09021599,-1.023015,1.139755,-1.988366,1773713823,1773713777,14.5503733333333,121.028731666667,2.1,0,2.1,1459.607,1458.875,1920,1080,974.0461,533.5496,0,1,201.2505,66,31,0.08647333,0.01269531,-0.946289,-0.340332,0,0,0,0.6057239,11.35883,1,0.5657287,27.5488,1.019744,0.4752008,0,0.984695,1,1.012069,950.4017,0,0,0,0,v1.7.5,b42db3cbbed4e482298d0c5195f61e63e,0,0,0,0,0,0,0,0,0,0,0,1,1920,1080,0,0,0,0,0,0,0,0,0,0,0,0
