query_submap_id,detected_submap_id
2,0
3,0
3,1
4,0
4,1
4,2
5,0
5,1
5,2
5,3
6,0
6,1
6,2
6,3
6,4
7,0
7,1
7,2
7,3
7,4
7,5
8,0
8,1
8,2
8,3
8,4
8,5
8,6
9,0
9,1
9,2
9,3
9,4
9,5
9,6
9,7
141,9
142,9
143,9
162,8
163,8
163,9
164,8
164,9
165,9
193,8
194,8
195,8
247,4
248,4
249,4
253,7
254,7
255,1
255,3
255,7
256,1
256,3
257,1
257,3
288,7
289,3
289,7
290,3
290,7
291,3
296,6
297,6
298,6
300,4
301,4
302,4
325,1
326,1
327,1
331,2
332,2
333,2
342,5
343,5
344,5
373,2
374,2
375,2
379,6
380,6
381,6
390,5
391,5
392,5
427,8
428,8
429,8
455,9
456,9
457,9
782,2
783,2
784,2
936,6
937,6
938,6
962,4
963,4
964,4
974,3
975,3
976,3
1038,7
1039,7
1040,7
1136,0
1137,0
1138,0
1138,5
1139,5
1140,5
1182,1
1183,1
1184,1
1373,0
1374,0
1375,0
1671,0
1672,0
1673,0
