query_submap,match1_submap,match1_score,match2_submap,match2_score,match3_submap,match3_score,match4_submap,match4_score,match5_submap,match5_score,match6_submap,match6_score,match7_submap,match7_score,updated_at_iso
sm_00000,sm_00007,1672.000000,sm_00001,1374.000000,sm_00006,1137.000000,sm_00003,940.000000,sm_00004,889.000000,sm_00002,605.000000,sm_00005,561.000000,2026-06-07T21:46:03.757345Z
sm_00001,sm_00000,1183.000000,sm_00007,326.000000,sm_00006,256.000000,sm_00002,253.000000,sm_00003,244.000000,sm_00005,211.000000,sm_00004,209.000000,2026-06-07T21:49:12.607965Z
sm_00002,sm_00000,783.000000,sm_00007,374.000000,sm_00001,332.000000,sm_00006,306.000000,sm_00003,291.000000,sm_00004,242.000000,sm_00005,155.000000,2026-06-07T21:52:19.097170Z
sm_00003,sm_00000,975.000000,sm_00007,290.000000,sm_00001,256.000000,sm_00006,243.000000,sm_00002,243.000000,sm_00005,211.000000,sm_00004,188.000000,2026-06-07T21:55:21.717246Z
sm_00004,sm_00000,963.000000,sm_00001,301.000000,sm_00007,248.000000,sm_00006,244.000000,sm_00003,241.000000,sm_00005,227.000000,sm_00002,213.000000,2026-06-07T21:58:25.167440Z
sm_00005,sm_00000,1139.000000,sm_00001,391.000000,sm_00007,343.000000,sm_00003,318.000000,sm_00006,294.000000,sm_00004,279.000000,sm_00002,258.000000,2026-06-07T22:01:32.508372Z
sm_00006,sm_00000,937.000000,sm_00007,380.000000,sm_00001,297.000000,sm_00002,287.000000,sm_00003,275.000000,sm_00004,257.000000,sm_00005,211.000000,2026-06-07T22:04:46.632787Z
sm_00007,sm_00000,1039.000000,sm_00002,289.000000,sm_00004,254.000000,sm_00001,252.000000,sm_00003,238.000000,sm_00006,196.000000,sm_00005,171.000000,2026-06-07T22:07:50.287266Z
sm_00008,sm_00000,428.000000,sm_00005,194.000000,sm_00004,163.000000,sm_00007,144.000000,sm_00001,139.000000,sm_00003,131.000000,sm_00002,124.000000,2026-06-07T22:10:44.149188Z
sm_00009,sm_00000,456.000000,sm_00007,164.000000,sm_00002,142.000000,sm_00004,127.000000,sm_00005,123.000000,sm_00001,100.000000,sm_00006,98.000000,2026-06-07T22:13:38.160797Z
