query_submap_id,detected_submap_id
2,0
3,0
3,1
4,0
4,1
4,2
5,0
5,1
5,2
5,3
6,0
6,1
6,2
6,3
6,4
7,0
7,1
7,2
7,3
7,4
7,5
8,0
8,1
8,2
8,3
8,4
8,6
9,0
9,1
9,2
9,3
9,4
9,5
9,6
10,3
34,6
35,6
36,6
36,9
37,9
38,9
47,2
48,2
49,2
50,6
50,8
51,6
51,8
52,6
52,8
57,3
57,4
58,3
58,4
58,6
59,3
59,4
59,6
60,6
63,5
64,5
65,5
65,9
66,9
67,9
92,7
93,5
93,7
94,5
94,7
95,5
111,7
112,7
113,7
115,8
116,1
116,8
117,1
117,8
118,1
119,8
120,8
121,8
122,7
123,7
124,7
125,1
126,1
127,1
127,3
128,3
129,3
129,4
130,4
131,4
146,5
147,5
148,5
150,9
151,9
152,9
162,4
163,4
164,4
195,2
196,2
197,2
213,2
214,2
215,2
378,3
379,3
380,3
748,0
749,0
750,0
1048,1
1049,1
1050,1
1096,0
1097,0
1098,0
1997,0
1998,0
1999,0
