query_submap,match1_submap,match1_score,match2_submap,match2_score,match3_submap,match3_score,match4_submap,match4_score,match5_submap,match5_score,match6_submap,match6_score,match7_submap,match7_score,updated_at_iso
sm_00000,sm_00002,1998.000000,sm_00004,1097.000000,sm_00001,749.000000,sm_00007,376.000000,sm_00009,256.000000,sm_00008,42.000000,sm_00003,12.000000,2026-06-07T16:41:12.815342Z
sm_00001,sm_00000,1049.000000,sm_00002,126.000000,sm_00003,117.000000,sm_00004,75.000000,sm_00007,41.000000,sm_00005,38.000000,sm_00009,19.000000,2026-06-07T16:43:35.688336Z
sm_00002,sm_00001,214.000000,sm_00000,196.000000,sm_00005,48.000000,sm_00004,41.000000,sm_00007,38.000000,sm_00003,36.000000,sm_00008,24.000000,2026-06-07T16:45:52.646466Z
sm_00003,sm_00000,379.000000,sm_00001,128.000000,sm_00005,58.000000,sm_00009,28.000000,sm_00008,22.000000,sm_00006,15.000000,sm_00002,10.000000,2026-06-07T16:47:54.116966Z
sm_00004,sm_00000,163.000000,sm_00001,130.000000,sm_00002,58.000000,sm_00005,45.000000,sm_00007,39.000000,sm_00003,38.000000,sm_00008,23.000000,2026-06-07T16:50:01.636833Z
sm_00005,sm_00000,147.000000,sm_00001,94.000000,sm_00003,64.000000,sm_00002,42.000000,sm_00004,31.000000,sm_00007,23.000000,sm_00008,22.000000,2026-06-07T16:51:51.138180Z
sm_00006,sm_00001,59.000000,sm_00000,51.000000,sm_00005,35.000000,sm_00008,32.000000,sm_00002,28.000000,sm_00003,25.000000,sm_00004,20.000000,2026-06-07T16:53:32.202867Z
sm_00007,sm_00001,123.000000,sm_00000,112.000000,sm_00002,93.000000,sm_00004,82.000000,sm_00005,40.000000,sm_00009,31.000000,sm_00003,24.000000,2026-06-07T16:55:07.116708Z
sm_00008,sm_00000,120.000000,sm_00001,116.000000,sm_00002,51.000000,sm_00003,47.000000,sm_00004,35.000000,sm_00007,27.000000,sm_00005,22.000000,2026-06-07T16:56:52.900453Z
sm_00009,sm_00001,151.000000,sm_00003,66.000000,sm_00005,37.000000,sm_00002,22.000000,sm_00004,22.000000,sm_00000,12.000000,sm_00007,10.000000,2026-06-07T16:58:01.754942Z
