query_submap_id,detected_submap_id
2,0
3,0
3,1
4,0
4,1
4,2
5,0
5,1
5,2
5,3
6,0
6,1
6,2
6,3
6,4
7,0
7,1
7,2
7,3
7,4
7,5
8,0
8,1
8,2
8,3
8,4
8,5
8,6
9,0
9,1
9,2
9,3
9,4
9,5
9,6
10,1
10,2
10,3
10,4
10,5
10,6
10,8
17,2
18,2
18,3
19,2
19,3
20,3
23,3
24,3
25,3
29,2
30,2
31,2
133,7
134,7
135,7
168,8
169,8
170,8
224,6
225,6
226,6
250,8
251,8
252,8
284,4
285,4
286,4
287,7
288,7
289,7
290,0
291,0
291,1
292,0
292,1
293,1
350,1
351,1
352,1
362,0
363,0
364,0
419,3
420,3
421,3
457,9
458,9
459,9
460,9
491,6
492,6
493,6
523,7
524,7
525,7
570,1
571,1
572,1
577,9
578,9
579,9
652,5
653,5
654,5
680,5
681,5
682,5
755,0
756,0
757,0
811,2
812,2
813,2
815,6
816,6
817,6
831,4
832,4
833,4
958,4
959,4
960,4
1316,5
1317,5
1318,5
