query_submap,match1_submap,match1_score,match2_submap,match2_score,match3_submap,match3_score,match4_submap,match4_score,match5_submap,match5_score,match6_submap,match6_score,match7_submap,match7_score,updated_at_iso
sm_00000,sm_00005,756.000000,sm_00006,363.000000,sm_00004,291.000000,sm_00001,241.000000,sm_00002,163.000000,sm_00009,148.000000,sm_00007,111.000000,2026-06-07T15:39:09.855434Z
sm_00001,sm_00004,571.000000,sm_00006,351.000000,sm_00009,292.000000,sm_00000,201.000000,sm_00002,119.000000,sm_00008,73.000000,sm_00007,71.000000,2026-06-07T15:42:14.020999Z
sm_00002,sm_00008,812.000000,sm_00006,30.000000,sm_00009,18.000000,sm_00000,6.000000,sm_00001,6.000000,sm_00003,6.000000,sm_00005,6.000000,2026-06-07T15:43:43.590359Z
sm_00003,sm_00008,420.000000,sm_00006,24.000000,sm_00009,19.000000,sm_00000,11.000000,sm_00001,11.000000,sm_00002,11.000000,sm_00005,11.000000,2026-06-07T15:45:03.343901Z
sm_00004,sm_00009,959.000000,sm_00000,832.000000,sm_00001,285.000000,sm_00005,231.000000,sm_00008,64.000000,sm_00003,27.000000,sm_00006,9.000000,2026-06-07T15:47:25.516480Z
sm_00005,sm_00004,1317.000000,sm_00001,681.000000,sm_00009,653.000000,sm_00000,548.000000,sm_00008,103.000000,sm_00003,20.000000,sm_00006,5.000000,2026-06-07T15:50:31.909609Z
sm_00006,sm_00005,816.000000,sm_00004,492.000000,sm_00009,225.000000,sm_00001,200.000000,sm_00000,160.000000,sm_00008,54.000000,sm_00003,29.000000,2026-06-07T15:53:46.428551Z
sm_00007,sm_00005,524.000000,sm_00006,288.000000,sm_00002,134.000000,sm_00001,109.000000,sm_00000,76.000000,sm_00008,46.000000,sm_00003,5.000000,2026-06-07T15:56:28.239761Z
sm_00008,sm_00004,251.000000,sm_00000,169.000000,sm_00009,169.000000,sm_00006,129.000000,sm_00005,90.000000,sm_00001,57.000000,sm_00002,45.000000,2026-06-07T15:59:12.205993Z
sm_00009,sm_00005,578.000000,sm_00000,459.000000,sm_00004,458.000000,sm_00001,282.000000,sm_00008,69.000000,sm_00006,13.000000,sm_00003,13.000000,2026-06-07T16:02:15.473547Z
