query_submap_id,detected_submap_id
4,2
5,0
5,2
5,3
6,0
6,2
6,3
6,4
7,0
7,2
7,3
7,4
7,5
8,0
8,2
8,3
8,4
8,5
8,6
9,0
9,2
9,3
9,4
9,5
9,6
9,7
10,0
10,2
10,3
10,4
10,5
10,6
10,7
10,8
11,0
11,3
12,0
13,0
16,2
17,2
17,3
18,2
18,3
19,3
46,3
47,3
48,3
50,2
51,2
52,2
69,2
70,2
71,2
74,4
75,4
76,4
105,4
106,4
107,4
128,9
129,9
130,9
137,6
138,6
139,6
157,4
158,4
159,4
159,6
160,6
161,6
170,9
171,9
172,9
205,7
206,7
207,7
227,5
228,5
229,5
234,7
235,7
236,7
242,5
243,5
244,5
257,5
258,5
259,5
333,7
334,7
335,7
402,6
403,6
404,6
451,9
452,9
453,9
879,8
880,8
881,8
934,8
935,8
936,8
1069,8
1070,8
1071,8
