query_submap_id,detected_submap_id
2,0
3,0
3,1
4,0
4,1
4,2
5,0
5,2
5,3
6,0
6,1
6,2
6,3
6,4
7,0
7,1
7,2
7,3
7,4
7,5
8,0
8,1
8,2
8,3
8,4
8,5
8,6
9,0
9,1
9,2
9,3
9,4
9,5
9,6
9,7
10,1
10,4
10,6
10,7
10,8
128,9
129,9
130,9
139,1
140,1
141,1
142,1
157,1
158,1
159,1
185,6
186,6
187,6
197,4
198,4
199,4
208,8
209,8
210,8
224,3
225,3
226,3
239,2
240,2
241,2
249,8
250,8
251,8
258,0
259,0
260,0
269,9
270,9
271,9
281,0
282,0
283,0
287,6
288,6
289,6
303,2
304,2
305,2
323,3
324,3
325,3
345,4
346,4
347,4
380,5
381,5
382,5
414,5
415,5
416,5
488,3
489,3
489,4
490,3
490,4
491,4
528,2
529,2
530,2
561,0
562,0
563,0
578,7
579,7
580,7
604,9
605,9
606,9
815,5
816,5
817,5
819,6
820,6
821,6
903,7
904,7
905,7
932,8
933,8
934,8
1174,7
1175,7
1176,7
