query_submap,match1_submap,match1_score,match2_submap,match2_score,match3_submap,match3_score,match4_submap,match4_score,match5_submap,match5_score,match6_submap,match6_score,match7_submap,match7_score,updated_at_iso
sm_00000,sm_00005,562.000000,sm_00004,282.000000,sm_00006,259.000000,sm_00001,181.000000,sm_00007,33.000000,sm_00009,8.000000,sm_00002,4.000000,2026-06-07T20:20:05.689066Z
sm_00001,sm_00007,158.000000,sm_00008,141.000000,sm_00003,140.000000,sm_00009,125.000000,sm_00004,103.000000,sm_00002,78.000000,sm_00005,77.000000,2026-06-07T20:23:31.293559Z
sm_00002,sm_00008,529.000000,sm_00007,304.000000,sm_00003,240.000000,sm_00004,98.000000,sm_00005,95.000000,sm_00000,83.000000,sm_00009,75.000000,2026-06-07T20:26:56.173079Z
sm_00003,sm_00008,489.000000,sm_00007,324.000000,sm_00002,225.000000,sm_00000,131.000000,sm_00009,128.000000,sm_00004,76.000000,sm_00005,69.000000,2026-06-07T20:30:30.492197Z
sm_00004,sm_00007,490.000000,sm_00008,346.000000,sm_00005,198.000000,sm_00009,135.000000,sm_00003,96.000000,sm_00000,93.000000,sm_00006,91.000000,2026-06-07T20:34:05.623849Z
sm_00005,sm_00007,816.000000,sm_00004,415.000000,sm_00008,381.000000,sm_00006,252.000000,sm_00009,220.000000,sm_00001,92.000000,sm_00003,62.000000,2026-06-07T20:37:44.167365Z
sm_00006,sm_00007,820.000000,sm_00004,288.000000,sm_00009,186.000000,sm_00001,127.000000,sm_00005,83.000000,sm_00002,3.000000,sm_00003,3.000000,2026-06-07T20:40:36.523860Z
sm_00007,sm_00005,1175.000000,sm_00009,904.000000,sm_00006,579.000000,sm_00004,418.000000,sm_00001,122.000000,sm_00008,22.000000,sm_00002,12.000000,2026-06-07T20:43:45.494646Z
sm_00008,sm_00007,933.000000,sm_00002,250.000000,sm_00009,209.000000,sm_00000,190.000000,sm_00004,185.000000,sm_00003,159.000000,sm_00005,95.000000,2026-06-07T20:47:19.538647Z
sm_00009,sm_00007,605.000000,sm_00008,270.000000,sm_00005,129.000000,sm_00000,91.000000,sm_00001,70.000000,sm_00004,62.000000,sm_00006,39.000000,2026-06-07T20:50:47.720858Z
