query_submap_id,detected_submap_id
2,0
3,0
4,0
4,2
5,0
5,2
5,3
6,0
6,3
6,4
7,0
7,1
7,2
7,3
7,4
7,5
8,0
8,1
8,2
8,3
8,4
8,5
8,6
9,0
9,2
9,3
9,4
9,5
9,6
9,7
10,0
10,2
10,3
10,4
10,5
10,6
10,7
10,8
11,0
11,8
12,8
16,2
17,2
18,2
19,2
20,0
20,9
21,0
21,9
22,0
22,9
23,0
23,7
24,0
24,7
25,7
26,3
27,3
28,2
28,3
29,2
29,3
30,2
30,3
31,3
32,3
33,3
34,3
36,7
37,7
38,7
50,4
51,4
52,4
73,5
74,5
75,5
75,6
76,6
77,6
100,5
101,5
102,5
104,6
105,6
106,6
114,4
115,4
116,4
133,4
134,4
135,4
250,5
251,5
251,9
252,5
252,9
253,9
269,6
270,6
271,6
634,7
635,7
636,7
1873,9
1874,9
1875,9
2575,8
2576,8
2577,8
